,hour,day_of_week,month,year,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,Temperature,Cloudiness,Irradiation,PublicHolidays,temp_squared,temp_hour_interaction,cloud_irradiation_interaction,load_lag1,load_lag2,load_lag3,load_lag24,load_lag48,load_lag168,load_rolling_mean_6h,load_rolling_mean_12h,load_rolling_mean_24h,temp_lag1,temp_lag24,Load,Load_Lower,Load_Upper
2014-12-09 08:00:00,8.0,1.0,12.0,2014.0,343.0,50.0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,2.95,5.125,0.22499999999999998,0.0,8.7025,23.6,1.153125,22084.3,20253.7,17577.1,22567.7,16219.9,22977.4,18259.816666666666,18916.083333333332,21233.087499999998,-0.2,2.3,22762.977,22386.164,23139.79
2014-12-09 09:00:00,9.0,1.0,12.0,2014.0,343.0,50.0,0.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,2.95,5.125,0.22499999999999998,0.0,8.7025,26.55,1.153125,22084.3,20253.7,,23020.8,17272.6,23378.7,19313.362760416665,18887.539713541668,21241.2240234375,2.95,2.3,22530.062,22153.25,22906.875
2014-12-09 10:00:00,10.0,1.0,12.0,2014.0,343.0,50.0,0.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.549999999999999,6.2749999999999995,0.22499999999999998,0.0,20.70249999999999,45.499999999999986,1.4118749999999998,22084.3,22762.9765625,,23072.0,18017.4,23275.9,20325.489843749998,18967.561588541666,21220.776627604162,2.95,2.5,22184.766,21807.953,22561.578
2014-12-09 11:00:00,11.0,1.0,12.0,2014.0,343.0,50.0,0.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.549999999999999,6.2749999999999995,0.22499999999999998,0.0,20.70249999999999,50.04999999999999,1.4118749999999998,22184.765625,22530.0625,22762.9765625,23362.3,18375.8,23545.1,21232.150781250002,19152.850390625,21183.808528645834,4.549999999999999,2.5,22780.975,22404.162,23157.787
2014-12-09 12:00:00,12.0,1.0,12.0,2014.0,343.0,50.0,0.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.549999999999999,6.2749999999999995,0.22499999999999998,0.0,20.70249999999999,54.59999999999999,1.4118749999999998,22780.974609375,22184.765625,22530.0625,23400.6,18567.2,23584.4,22099.463541666668,19506.231770833332,21159.58671875,4.549999999999999,2.5,23186.572,22809.76,23563.385
2014-12-09 13:00:00,13.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,5.7,5.6,0.22499999999999998,0.0,32.49,74.10000000000001,1.2599999999999998,23186.572265625,22780.974609375,22184.765625,23562.1,18688.6,23651.1,22588.275260416664,19979.704296875,21150.668815104164,4.549999999999999,3.7,23312.994,22936.182,23689.807
2014-12-09 14:00:00,14.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,5.7,5.6,0.22499999999999998,0.0,32.49,79.8,1.2599999999999998,23312.994140625,23186.572265625,22780.974609375,23367.8,18558.4,23449.8,22793.056640625,20526.436653645833,21140.289160156248,5.7,3.7,23166.244,22789.432,23543.057
2014-12-09 15:00:00,15.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,5.7,5.6,0.22499999999999998,0.0,32.49,85.5,1.2599999999999998,23166.244140625,23312.994140625,23186.572265625,23682.8,18744.2,23754.4,22860.267578125,21086.816471354166,21131.891569010415,5.7,3.7,23519.672,23142.86,23896.484
2014-12-09 16:00:00,16.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.949999999999999,5.725,0.22499999999999998,0.0,24.502499999999994,79.19999999999999,1.2881249999999997,23519.671875,23166.244140625,23312.994140625,24408.3,19808.9,24927.5,23025.203125,21675.347135416665,21125.094401041668,5.7,3.5,24386.44,24009.627,24763.252
2014-12-09 17:00:00,17.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.949999999999999,5.725,0.22499999999999998,0.0,24.502499999999994,84.14999999999999,1.2881249999999997,24386.439453125,23519.671875,23166.244140625,24352.5,19971.7,24784.6,23392.1484375,22312.1505859375,21124.18362630208,4.949999999999999,3.5,24256.193,23879.38,24633.006
